id,symbol,timeframe,direction,pattern_type,entry_price,sl_price,tp1_price,tp2_price,tp3_price,exit_type,status,pnl_r,pnl_percent,context_trend_before,context_was_reversal,context_swing_count_20,context_recent_direction,context_distance_from_ema,pattern_score,trend_alignment,clearance_15m,post_sl_outcome,post_sl_max_favorable_r,post_sl_time_to_tp_min,mfe_r,mae_r,signal_time,time_to_sl_min,atr_15m,free_path_r,clearance_1h,r_available,actual_rr_tp1,actual_rr_tp2,actual_rr_tp3,multi_tf_alignment,confluence_score
123,BLESSUSDT,15m,LONG,pinbar_buy,0.04175000,0.04032153,0.04432124,0.04432124,0.04432124,SL_HIT,SL_HIT,-1.0000,-3.4215,uptrend,f,9,bearish,2.0435,5.00,with,,sideways,0.0000,,0.0000,-3.2342,2025-11-02 23:30:11.459068,134,0.00109489,,,,1.80,1.80,1.80,,
122,OGUSDT,15m,LONG,pinbar_buy,12.39100000,12.25221180,12.66857641,12.66857641,12.66857641,SL_HIT,SL_HIT,-1.0000,-1.1201,uptrend,f,9,choppy,0.6457,7.00,with,0.10700000,sideways,0.6269,,0.0000,-2.4137,2025-11-02 23:15:12.99234,100,0.10262734,,,,2.00,2.00,2.00,,
120,BCHUSDT,15m,SHORT,fakey_sell,532.10000000,534.63569279,527.02861442,527.02861442,527.02861442,SL_HIT,SL_HIT,-1.0000,-0.4765,sideways,f,10,choppy,-0.1222,3.00,neutral,0.25000000,sideways,1.3527,,10.0722,0.0000,2025-11-02 22:15:13.088444,58,1.45230929,,,,2.00,2.00,2.00,,
119,FLOCKUSDT,15m,SHORT,pinbar_sell,0.23740000,0.23892623,0.23434754,0.23434754,0.23434754,SL_HIT,SL_HIT,-1.0000,-0.6429,downtrend,t,8,bullish,-0.1467,7.00,with,0.01150000,reached_tp3,13.1697,46,23.3910,0.0000,2025-11-02 22:00:19.050612,73,0.00175409,,,,2.00,2.00,2.00,,
118,API3USDT,15m,SHORT,pinbar_sell,0.65880000,0.66158203,0.65323594,0.65323594,0.65323594,SL_HIT,SL_HIT,-1.0000,-0.4223,downtrend,f,8,bullish,-0.2141,6.00,with,0.00150000,reached_tp3,4.4931,207,13.5513,0.0000,2025-11-02 22:00:12.406632,62,0.00260676,,,,2.00,2.00,2.00,,
117,ZROUSDT,15m,SHORT,pinbar_sell,1.59970000,1.60926504,1.58056992,1.58056992,1.58056992,SL_HIT,SL_HIT,-1.0000,-0.5979,downtrend,f,6,choppy,-0.2783,9.00,with,0.03680000,sideways,0.3032,,18.0762,0.0000,2025-11-02 21:15:21.567467,29,0.01055013,,,,2.00,2.00,2.00,,
116,1000BONKUSDT,15m,SHORT,pinbar_sell,0.01375800,0.01383404,0.01360592,0.01360592,0.01360592,SL_HIT,SL_HIT,-1.0000,-0.5527,downtrend,f,8,bullish,-0.0125,5.00,with,0.00027200,sideways,0.0658,,20.0552,0.0000,2025-11-02 21:15:20.653927,29,0.00007681,,,,2.00,2.00,2.00,,
115,ALGOUSDT,15m,SHORT,pinbar_sell,0.17470000,0.17555036,0.17299929,0.17299929,0.17299929,SL_HIT,SL_HIT,-1.0000,-0.4868,downtrend,f,6,bullish,-0.0448,6.00,with,,sideways,1.0584,,16.2284,0.0000,2025-11-02 21:15:16.647396,32,0.00083452,,,,2.00,2.00,2.00,,
114,ONDOUSDT,15m,SHORT,pinbar_sell,0.68540000,0.68790891,0.68038219,0.68038219,0.68038219,SL_HIT,SL_HIT,-1.0000,-0.3661,downtrend,f,9,choppy,-0.0500,7.00,with,0.00060000,reached_tp3,3.1488,222,28.2194,0.0000,2025-11-02 21:15:16.640972,32,0.00302968,,,,2.00,2.00,2.00,,
113,1000FLOKIUSDT,15m,SHORT,pinbar_sell,0.06832000,0.06868611,0.06758778,0.06758778,0.06758778,SL_HIT,SL_HIT,-1.0000,-0.5359,downtrend,t,9,bullish,-0.0445,6.00,with,0.00041000,sideways,1.3111,,19.3658,0.0000,2025-11-02 21:15:15.612036,35,0.00038703,,,,2.00,2.00,2.00,,
111,DOGEUSDT,15m,SHORT,pinbar_sell,0.18334000,0.18387510,0.18226981,0.18226981,0.18226981,SL_HIT,SL_HIT,-1.0000,-0.2919,downtrend,f,7,bullish,-0.0676,5.00,with,0.00066000,sideways,1.7941,,26.6492,0.0000,2025-11-02 21:15:14.567948,23,0.00061699,,,,2.00,2.00,2.00,,
110,PNUTUSDT,15m,SHORT,pinbar_sell,0.12538000,0.12598369,0.12417262,0.12417262,0.12417262,SL_HIT,SL_HIT,-1.0000,-0.4815,downtrend,f,9,bullish,-0.1186,7.00,with,0.00137000,sideways,1.4743,,23.2404,0.0000,2025-11-02 21:15:14.080792,35,0.00064564,,,,2.00,2.00,2.00,,
109,SPXUSDT,15m,SHORT,pinbar_sell,0.84630000,0.85284254,0.83321492,0.83321492,0.83321492,SL_HIT,SL_HIT,-1.0000,-0.7731,downtrend,t,8,bullish,-0.5285,6.00,with,0.00270000,reached_tp3,3.8976,181,17.7454,0.0000,2025-11-02 21:15:13.511008,58,0.00680846,,,,2.00,2.00,2.00,,
108,STBLUSDT,15m,SHORT,pinbar_sell,0.08740000,0.08839724,0.08540552,0.08540552,0.08540552,SL_HIT,SL_HIT,-1.0000,-1.1410,downtrend,t,7,bearish,-0.1931,7.00,with,,sideways,0.8423,,20.5367,0.0000,2025-11-02 21:00:13.51747,19,0.00112414,,,,2.00,2.00,2.00,,
103,ZKUSDT,15m,LONG,fakey_buy,0.06874000,0.06440163,0.07654906,0.07654906,0.07654906,SL_HIT,SL_HIT,-1.0000,-6.3113,uptrend,f,10,bullish,2.3392,5.00,with,,sideways,0.0000,,0.0000,-3.8240,2025-11-02 13:30:15.211439,64,0.00316122,,,,1.80,1.80,1.80,,
102,OGUSDT,15m,LONG,pinbar_buy,12.32500000,12.18618814,12.60262372,12.60262372,12.60262372,SL_HIT,SL_HIT,-1.0000,-1.1263,uptrend,f,8,bullish,0.2870,4.00,with,0.17300000,sideways,1.2535,,0.0504,-1.8947,2025-11-02 13:00:19.273616,30,0.12603954,,,,2.00,2.00,2.00,,
101,BLUAIUSDT,15m,SHORT,pinbar_sell,0.02040000,0.02059829,0.02000343,0.02000343,0.02000343,SL_HIT,SL_HIT,-1.0000,-0.9720,downtrend,t,7,bullish,-0.1098,7.00,with,,reached_tp3,8.3211,23,39.0842,0.0000,2025-11-02 13:00:16.280904,6,0.00029429,,,,2.00,2.00,2.00,,
98,HUSDT,15m,SHORT,pinbar_sell,0.24206000,0.24567182,0.23483637,0.23483637,0.23483637,SL_HIT,SL_HIT,-1.0000,-1.4921,sideways,f,8,bearish,-0.2106,3.00,neutral,0.00643000,sideways,1.0383,,0.0000,-3.4830,2025-11-02 10:15:12.664652,170,0.00287272,,,,2.00,2.00,2.00,,
95,JUPUSDT,15m,LONG,pinbar_buy,0.41460000,0.41259672,0.41860657,0.41860657,0.41860657,SL_HIT,SL_HIT,-1.0000,-0.4832,uptrend,f,8,choppy,0.0433,5.00,with,0.00320000,sideways,0.0000,,0.0000,-24.9591,2025-11-02 09:00:13.50762,33,0.00201095,,,,2.00,2.00,2.00,,
94,OPUSDT,15m,LONG,pinbar_buy,0.42460000,0.42181816,0.43016368,0.43016368,0.43016368,SL_HIT,SL_HIT,-1.0000,-0.6552,uptrend,f,8,choppy,0.5061,3.00,with,,reached_tp3,2.0850,129,0.0000,-24.9475,2025-11-02 09:00:11.401955,65,0.00227280,,,,2.00,2.00,2.00,,
93,DOTUSDT,15m,LONG,pinbar_buy,2.99200000,2.98143558,3.01312885,3.01312885,3.01312885,SL_HIT,SL_HIT,-1.0000,-0.3531,uptrend,f,7,bullish,0.0303,4.00,with,,sideways,0.8519,,0.0000,-37.2003,2025-11-02 09:00:11.395366,79,0.01188141,,,,2.00,2.00,2.00,,
92,RVVUSDT,15m,SHORT,pinbar_sell,0.00846800,0.00892806,0.00763989,0.00763989,0.00763989,SL_HIT,SL_HIT,-1.0000,-5.4329,downtrend,f,9,choppy,-1.1165,6.00,with,0.00044300,sideways,0.5825,,4.8863,0.0000,2025-11-02 07:30:13.762041,55,0.00017020,,,,1.80,1.80,1.80,,
91,XPLUSDT,15m,SHORT,pinbar_sell,0.29710000,0.29908875,0.29312250,0.29312250,0.29312250,SL_HIT,SL_HIT,-1.0000,-0.6694,sideways,f,8,bearish,-0.4314,4.00,neutral,0.00210000,reached_tp3,7.0396,81,13.4758,0.0000,2025-11-02 07:00:11.700221,53,0.00229583,,,,2.00,2.00,2.00,,
90,CAKEUSDT,15m,LONG,fakey_buy,2.56140000,2.54199020,2.60021961,2.60021961,2.60021961,SL_HIT,SL_HIT,-1.0000,-0.7578,uptrend,f,10,bullish,0.8560,9.00,with,0.04850000,sideways,0.0000,,0.0000,-18.2485,2025-11-02 06:30:14.078387,124,0.01103268,,,,2.00,2.00,2.00,,
89,WALUSDT,15m,SHORT,fakey_sell,0.22720000,0.22931405,0.22297189,0.22297189,0.22297189,SL_HIT,SL_HIT,-1.0000,-0.9305,downtrend,f,10,choppy,-0.5476,6.00,with,0.00590000,sideways,0.2838,,7.3792,0.0000,2025-11-02 03:45:15.863963,61,0.00104684,,,,2.00,2.00,2.00,,
