id,symbol,timeframe,direction,pattern_type,entry_price,sl_price,tp1_price,tp2_price,tp3_price,exit_type,status,pnl_r,pnl_percent,context_trend_before,context_was_reversal,context_swing_count_20,context_recent_direction,context_distance_from_ema,pattern_score,trend_alignment,clearance_15m,post_sl_outcome,post_sl_max_favorable_r,post_sl_time_to_tp_min,mfe_r,mae_r,signal_time,time_to_sl_min,time_to_tp1_min,time_to_tp2_min,time_to_tp3_min,time_to_be_min,atr_15m,free_path_r,clearance_1h,r_available,actual_rr_tp1,actual_rr_tp2,actual_rr_tp3,multi_tf_alignment,confluence_score,be_activated,trailing_activated,partial_closed,partial_close_p1,partial_close_p2,partial_close_p3,initial_sl,current_sl,position_size,spread_percent,depth_1pct_bid,depth_1pct_ask,order_book_imbalance,volume_24h_usdt,dist_to_dir_h1_zone_atr,dist_to_dir_h4_zone_atr,arrival_pattern,trade_outcome,speed_category,swing_category
55,LIGHTUSDT,15m,SHORT,pinbar_sell,2.27940000,2.35350855,,2.20588290,,,SL_HIT,,,downtrend,f,10,choppy,-1.8911,,with,0.06350000,,,,,,2025-10-26 20:32:52.467724,,,,,,,,,,,,,,,f,f,0.00,,,,,2.27940000,100.00,,,,,,,,,Loss,,High (10+)
54,XMRUSDT,15m,LONG,pinbar_buy,347.23000000,343.58323500,,352.63353000,,,SL_HIT,,,uptrend,f,7,choppy,-0.1449,,with,,,,,,,2025-10-26 20:16:43.774846,,,,,,,,,,,,,,,f,f,0.00,,,,,343.58323500,100.00,,,,,,,,,Loss,,Medium (6-9)
53,AVNTUSDT,15m,LONG,pinbar_buy,0.77520000,0.76969660,,0.79040680,,,TP2_HIT,,,downtrend,f,9,bearish,-0.8425,,against,0.03070000,,,,,,2025-10-26 20:16:28.730535,,,,,,,,,,,,,,,f,f,0.00,,,,,0.77520000,100.00,,,,,,,,,Win,,Medium (6-9)
50,ICPUSDT,15m,LONG,pinbar_buy,3.23400000,3.21470900,,3.27858200,,,TP2_HIT,,,uptrend,f,6,choppy,-0.0543,,with,,,,,,,2025-10-26 19:31:27.223366,,,,,,,,,,,,,,,f,f,0.00,,,,,3.21470900,100.00,,,,,,,,,Win,,Medium (6-9)
49,ATOMUSDT,15m,LONG,pinbar_buy,3.23100000,3.21271600,,3.27056800,,,TP2_HIT,,,uptrend,f,7,choppy,0.0068,,with,,,,,,,2025-10-26 19:30:59.158721,,,,,,,,,,,,,,,f,f,0.00,,,,,3.23100000,100.00,,,,,,,,,Win,,Medium (6-9)
48,FFUSDT,15m,LONG,pinbar_buy,0.18254000,0.16747179,,0.21039642,,,SL_HIT,,,uptrend,f,8,choppy,0.6956,,with,,,,,,,2025-10-26 19:15:16.80065,,,,,,,,,,,,,,,f,f,0.00,,,,,0.18254000,100.00,,,,,,,,,Loss,,Medium (6-9)
47,HIPPOUSDT,15m,LONG,pinbar_buy,0.00159600,0.00152365,,0.00174070,,,TP2_HIT,,,uptrend,t,7,bearish,-2.1940,,with,0.00020400,,,,,,2025-10-26 15:47:15.215289,,,,,,,,,,,,,,,f,f,0.00,,,,,0.00159600,100.00,,,,,,,,,Win,,Medium (6-9)
46,NEIROUSDT,15m,LONG,pinbar_buy,0.00019970,0.00019761,,0.00020389,,,SL_HIT,,,uptrend,f,6,bearish,-0.1132,,with,0.00000030,,,,,,2025-10-26 15:16:36.28133,,,,,,,,,,,,,,,f,f,0.00,,,,,0.00019761,100.00,,,,,,,,,Loss,,Medium (6-9)
45,GALAUSDT,15m,LONG,fakey_buy,0.01141000,0.01129035,,0.01164931,,,SL_HIT,,,uptrend,f,7,choppy,0.6884,,with,,,,,,,2025-10-26 15:16:07.170075,,,,,,,,,,,,,,,f,f,0.00,,,,,0.01129035,100.00,,,,,,,,,Loss,,Medium (6-9)
44,HANAUSDT,15m,LONG,pinbar_buy,0.05380000,0.05238826,,0.05662348,,,SL_HIT,,,sideways,f,9,bearish,-1.8700,,neutral,0.00117000,,,,,,2025-10-26 14:02:23.848658,,,,,,,,,,,,,,,f,f,0.00,,,,,0.05238826,100.00,,,,,,,,,Loss,,Medium (6-9)
43,TRXUSDT,15m,SHORT,pinbar_sell,0.29960000,0.31036313,,0.27807374,,,SL_HIT,,,,,,,,,,,,,,,,2025-10-26 13:16:06.74508,,,,,,,,,,,,,,,f,f,0.00,,,,,0.31036313,100.00,,,,,,,,,Loss,,High (10+)
